,Time To Goal,MSE,Model,Trial
14695,0.75,0.42199891805648804,MP-S1,734
14696,0.8,0.5932186245918274,MP-S1,734
14697,0.85,0.7190774083137512,MP-S1,734
14698,0.9,0.336589515209198,MP-S1,734
14699,1.0,0.43472445011138916,MP-S1,734
14700,0.0,1.3207290172576904,MP-S1,735
14701,0.05,1.3207290172576904,MP-S1,735
14702,0.1,1.3878731727600098,MP-S1,735
14703,0.15,1.477195143699646,MP-S1,735
14704,0.2,1.5436874628067017,MP-S1,735
14705,0.25,1.5956865549087524,MP-S1,735
14706,0.3,1.5956865549087524,MP-S1,735
14707,0.35,1.338163137435913,MP-S1,735
14708,0.4,1.4058473110198975,MP-S1,735
14709,0.45,1.5689395666122437,MP-S1,735
14710,0.5,1.6285265684127808,MP-S1,735
14711,0.55,1.717966914176941,MP-S1,735
14712,0.6,1.3540040254592896,MP-S1,735
14713,0.65,1.2241158485412598,MP-S1,735
14714,0.7,1.355644941329956,MP-S1,735
14715,0.75,1.5527398586273193,MP-S1,735
14716,0.8,0.20402249693870544,MP-S1,735
14717,0.85,0.09203127771615982,MP-S1,735
14718,0.9,0.11644181609153748,MP-S1,735
14719,1.0,0.20243729650974274,MP-S1,735
14720,0.0,2.056154251098633,MP-S1,736
14721,0.05,2.1193556785583496,MP-S1,736
14722,0.1,2.3125925064086914,MP-S1,736
14723,0.15,2.470574378967285,MP-S1,736
14724,0.2,2.4645612239837646,MP-S1,736
14725,0.25,2.390343189239502,MP-S1,736
14726,0.3,2.4080076217651367,MP-S1,736
14727,0.35,2.5860657691955566,MP-S1,736
14728,0.4,2.5130181312561035,MP-S1,736
14729,0.45,2.462775945663452,MP-S1,736
14730,0.5,1.854381799697876,MP-S1,736
14731,0.55,0.07372600585222244,MP-S1,736
14732,0.6,0.15691308677196503,MP-S1,736
14733,0.65,1.1070575714111328,MP-S1,736
14734,0.7,0.7499351501464844,MP-S1,736
14735,0.75,0.22641009092330933,MP-S1,736
14736,0.8,0.08314783871173859,MP-S1,736
14737,0.85,0.13857635855674744,MP-S1,736
14738,0.9,0.49339303374290466,MP-S1,736
14739,1.0,0.028365500271320343,MP-S1,736
14740,0.0,0.24014171957969666,MP-S1,737
14741,0.05,0.23207326233386993,MP-S1,737
14742,0.1,0.35736846923828125,MP-S1,737
14743,0.15,0.488311767578125,MP-S1,737
14744,0.2,0.545024037361145,MP-S1,737
14745,0.25,0.8717377781867981,MP-S1,737
14746,0.3,1.1683175563812256,MP-S1,737
14747,0.35,1.385966181755066,MP-S1,737
14748,0.4,1.8748044967651367,MP-S1,737
14749,0.45,2.069669008255005,MP-S1,737
14750,0.5,2.4678707122802734,MP-S1,737
14751,0.55,1.8026745319366455,MP-S1,737
14752,0.6,1.5595120191574097,MP-S1,737
14753,0.65,1.6085420846939087,MP-S1,737
14754,0.7,1.948251485824585,MP-S1,737
14755,0.75,0.37754297256469727,MP-S1,737
14756,0.8,0.48874330520629883,MP-S1,737
14757,0.85,0.39276501536369324,MP-S1,737
14758,0.9,0.3988387882709503,MP-S1,737
14759,1.0,0.49138525128364563,MP-S1,737
14760,0.0,2.047065019607544,MP-S1,738
14761,0.05,2.0297818183898926,MP-S1,738
14762,0.1,2.11486554145813,MP-S1,738
14763,0.15,1.8829518556594849,MP-S1,738
14764,0.2,1.8975054025650024,MP-S1,738
14765,0.25,1.853887915611267,MP-S1,738
14766,0.3,1.8431779146194458,MP-S1,738
14767,0.35,1.930904507637024,MP-S1,738
14768,0.4,1.436763048171997,MP-S1,738
14769,0.45,1.4742673635482788,MP-S1,738
14770,0.5,1.1702549457550049,MP-S1,738
14771,0.55,1.187504529953003,MP-S1,738
14772,0.6,1.3022061586380005,MP-S1,738
14773,0.65,1.011421799659729,MP-S1,738
14774,0.7,0.7588191628456116,MP-S1,738
14775,0.75,0.7502902150154114,MP-S1,738
14776,0.8,0.8811900019645691,MP-S1,738
14777,0.85,0.9412709474563599,MP-S1,738
14778,0.9,1.0141748189926147,MP-S1,738
14779,1.0,1.2163339853286743,MP-S1,738
14780,0.0,0.151023268699646,MP-S1,739
14781,0.05,0.19897925853729248,MP-S1,739
14782,0.1,0.29409903287887573,MP-S1,739
14783,0.15,0.3860604166984558,MP-S1,739
14784,0.2,0.554436981678009,MP-S1,739
14785,0.25,0.6512066721916199,MP-S1,739
14786,0.3,0.7142936587333679,MP-S1,739
14787,0.35,0.8698601126670837,MP-S1,739
14788,0.4,1.09211266040802,MP-S1,739
14789,0.45,1.2842161655426025,MP-S1,739
14790,0.5,1.4395182132720947,MP-S1,739
14791,0.55,0.11493173241615295,MP-S1,739
14792,0.6,0.16293217241764069,MP-S1,739
14793,0.65,0.18936705589294434,MP-S1,739
14794,0.7,0.2021302431821823,MP-S1,739
14795,0.75,0.1970800757408142,MP-S1,739
14796,0.8,0.2303267866373062,MP-S1,739
14797,0.85,0.25888827443122864,MP-S1,739
14798,0.9,0.29273635149002075,MP-S1,739
14799,1.0,0.33263105154037476,MP-S1,739
14800,0.0,0.7856431007385254,MP-S1,740
14801,0.05,0.6366690397262573,MP-S1,740
14802,0.1,0.3699549436569214,MP-S1,740
14803,0.15,0.388993501663208,MP-S1,740
14804,0.2,0.4296669065952301,MP-S1,740
14805,0.25,0.5134650468826294,MP-S1,740
14806,0.3,0.5569038987159729,MP-S1,740
14807,0.35,0.60089510679245,MP-S1,740
14808,0.4,0.6431537866592407,MP-S1,740
14809,0.45,0.6861643195152283,MP-S1,740
14810,0.5,0.7709141373634338,MP-S1,740
14811,0.55,0.8087378740310669,MP-S1,740
14812,0.6,0.7881003022193909,MP-S1,740
14813,0.65,0.8159812092781067,MP-S1,740
14814,0.7,0.8897301554679871,MP-S1,740
14815,0.75,0.9319722056388855,MP-S1,740
14816,0.8,1.05449378490448,MP-S1,740
14817,0.85,1.1761674880981445,MP-S1,740
14818,0.9,1.2366528511047363,MP-S1,740
14819,1.0,1.3961387872695923,MP-S1,740
14820,0.0,0.5983293056488037,MP-S1,741
14821,0.05,0.7182710766792297,MP-S1,741
